State,Job_title,Median_salary
Alabama,"Business Operations Specialists, All Other",94640
Alabama,Computer Systems Analysts,102560
Alabama,Database Architects,114000
Alabama,Data Scientists,100560
Alaska,"Business Operations Specialists, All Other",85680
Alaska,Computer Systems Analysts,86720
Alaska,Database Architects,119440
Alaska,Data Scientists,80000
Arizona,"Business Operations Specialists, All Other",81600
Arizona,Computer Systems Analysts,100280
Arizona,Database Architects,122620
Arizona,Data Scientists,106400
Arkansas,"Business Operations Specialists, All Other",59280
Arkansas,Computer Systems Analysts,77210
Arkansas,Database Architects,98280
Arkansas,Data Scientists,115890
California,"Business Operations Specialists, All Other",83610
California,Computer Systems Analysts,124370
California,Database Architects,162250
California,Data Scientists,133690
Colorado,"Business Operations Specialists, All Other",83060
Colorado,Computer Systems Analysts,105980
Colorado,Database Architects,134780
Colorado,Data Scientists,111970
Connecticut,"Business Operations Specialists, All Other",87060
Connecticut,Computer Systems Analysts,103830
Connecticut,Database Architects,143540
Connecticut,Data Scientists,112750
Delaware,"Business Operations Specialists, All Other",78400
Delaware,Computer Systems Analysts,113060
Delaware,Database Architects,148320
Delaware,Data Scientists,138780
District of Columbia,"Business Operations Specialists, All Other",103590
District of Columbia,Computer Systems Analysts,103960
District of Columbia,Database Architects,164720
District of Columbia,Data Scientists,122010
Florida,"Business Operations Specialists, All Other",77020
Florida,Computer Systems Analysts,99770
Florida,Database Architects,123960
Florida,Data Scientists,95360
Georgia,"Business Operations Specialists, All Other",72330
Georgia,Computer Systems Analysts,100120
Georgia,Database Architects,155210
Georgia,Data Scientists,100950
Hawaii,"Business Operations Specialists, All Other",86130
Hawaii,Computer Systems Analysts,87980
Hawaii,Database Architects,133040
Hawaii,Data Scientists,129930
Idaho,"Business Operations Specialists, All Other",71410
Idaho,Computer Systems Analysts,80960
Idaho,Database Architects,133590
Idaho,Data Scientists,122280
Illinois,"Business Operations Specialists, All Other",77710
Illinois,Computer Systems Analysts,99470
Illinois,Database Architects,128990
Illinois,Data Scientists,108580
Indiana,"Business Operations Specialists, All Other",73120
Indiana,Computer Systems Analysts,92310
Indiana,Database Architects,84020
Indiana,Data Scientists,81620
Iowa,"Business Operations Specialists, All Other",68160
Iowa,Computer Systems Analysts,91040
Iowa,Database Architects,132330
Iowa,Data Scientists,96980
Kansas,"Business Operations Specialists, All Other",79240
Kansas,Computer Systems Analysts,102180
Kansas,Database Architects,154090
Kansas,Data Scientists,101610
Kentucky,"Business Operations Specialists, All Other",70430
Kentucky,Computer Systems Analysts,80980
Kentucky,Database Architects,88930
Kentucky,Data Scientists,88800
Louisiana,"Business Operations Specialists, All Other",60860
Louisiana,Computer Systems Analysts,82660
Louisiana,Database Architects,103600
Louisiana,Data Scientists,68730
Maine,"Business Operations Specialists, All Other",70290
Maine,Computer Systems Analysts,81810
Maine,Database Architects,120790
Maine,Data Scientists,99960
Maryland,"Business Operations Specialists, All Other",96260
Maryland,Computer Systems Analysts,111100
Maryland,Database Architects,139510
Maryland,Data Scientists,125460
Massachusetts,"Business Operations Specialists, All Other",85390
Massachusetts,Computer Systems Analysts,111890
Massachusetts,Database Architects,152030
Massachusetts,Data Scientists,121560
Michigan,"Business Operations Specialists, All Other",77710
Michigan,Computer Systems Analysts,100100
Michigan,Database Architects,122700
Michigan,Data Scientists,90750
Minnesota,"Business Operations Specialists, All Other",68610
Minnesota,Computer Systems Analysts,106930
Minnesota,Database Architects,130350
Minnesota,Data Scientists,114630
Mississippi,"Business Operations Specialists, All Other",69600
Mississippi,Computer Systems Analysts,80020
Mississippi,Database Architects,71950
Mississippi,Data Scientists,62600
Missouri,"Business Operations Specialists, All Other",77110
Missouri,Computer Systems Analysts,96660
Missouri,Database Architects,102810
Missouri,Data Scientists,81410
Montana,"Business Operations Specialists, All Other",63960
Montana,Computer Systems Analysts,82020
Montana,Database Architects,112580
Montana,Data Scientists,94420
Nebraska,"Business Operations Specialists, All Other",74240
Nebraska,Computer Systems Analysts,82710
Nebraska,Database Architects,129110
Nebraska,Data Scientists,92640
Nevada,"Business Operations Specialists, All Other",62510
Nevada,Computer Systems Analysts,100780
Nevada,Database Architects,125180
Nevada,Data Scientists,86030
New Hampshire,"Business Operations Specialists, All Other",78520
New Hampshire,Computer Systems Analysts,105850
New Hampshire,Database Architects,124430
New Hampshire,Data Scientists,92670
New Jersey,"Business Operations Specialists, All Other",85700
New Jersey,Computer Systems Analysts,123190
New Jersey,Database Architects,162410
New Jersey,Data Scientists,130570
New Mexico,"Business Operations Specialists, All Other",75140
New Mexico,Computer Systems Analysts,88440
New Mexico,Database Architects,126000
New Mexico,Data Scientists,87020
New York,"Business Operations Specialists, All Other",81380
New York,Computer Systems Analysts,107510
New York,Database Architects,142230
New York,Data Scientists,128890
North Carolina,"Business Operations Specialists, All Other",76790
North Carolina,Computer Systems Analysts,105770
North Carolina,Database Architects,125860
North Carolina,Data Scientists,126940
North Dakota,"Business Operations Specialists, All Other",70430
North Dakota,Computer Systems Analysts,93880
