Year,GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
2014,C,CITYWIDE,17720,34721,3249,1522,8,1677,4,483,1,751,13,645
2014,M,MANHATTAN,4026,7672,522,155,1,174,0,119,0,174,5,194
2014,B,BRONX,2455,4816,556,283,3,331,3,68,0,117,3,76
2014,K,BROOKLYN,4960,9725,1077,479,1,586,0,182,1,263,2,241
2014,Q,QUEENS,5195,10367,895,471,3,485,1,103,0,171,3,121
2014,S,STATEN ISLAND,1084,2141,199,134,0,101,0,11,0,26,0,13
2019,C,CITYWIDE,17380,34330,3919,2453,6,1525,2,452,1,778,8,644
2019,M,MANHATTAN,3470,6622,641,307,0,203,0,117,0,156,0,199
2019,B,BRONX,2886,5737,682,443,3,320,1,48,0,146,1,71
2019,K,BROOKLYN,5155,10170,1250,726,1,439,0,199,0,255,4,259
2019,Q,QUEENS,5323,10746,1159,841,2,487,1,78,1,194,3,101
2019,S,STATEN ISLAND,546,1055,187,136,0,76,0,10,0,27,0,14
2020,C,CITYWIDE,9429,18541,3370,2017,14,1318,2,693,6,558,13,719
2020,M,MANHATTAN,1383,2485,485,199,1,125,0,151,0,112,4,173
2020,B,BRONX,1868,3684,644,409,3,285,0,100,3,117,1,94
2020,K,BROOKLYN,3126,6270,1127,644,2,450,1,271,2,181,2,272
2020,Q,QUEENS,2612,5211,975,662,8,387,1,155,1,128,5,164
2020,S,STATEN ISLAND,440,891,139,103,0,71,0,16,0,20,1,16
2021,C,CITYWIDE,9735,19116,3643,2138,10,1573,2,466,2,684,7,598
2021,M,MANHATTAN,1654,3011,604,232,3,219,0,132,1,140,1,190
2021,B,BRONX,1700,3419,611,382,3,324,0,51,0,107,2,70
2021,K,BROOKLYN,3258,6442,1236,695,1,529,2,187,1,251,3,222
2021,Q,QUEENS,2667,5366,1044,711,3,421,0,88,0,165,1,107
2021,S,STATEN ISLAND,456,878,148,118,0,80,0,8,0,21,0,9
2022,C,CITYWIDE,8475,16361,3344,1876,3,1287,1,506,0,673,9,626
2022,M,MANHATTAN,1486,2656,540,214,0,168,0,145,0,141,2,198
2022,B,BRONX,1430,2795,561,348,1,214,1,51,0,127,2,68
2022,K,BROOKLYN,2801,5486,1116,594,0,432,0,196,0,205,4,225
2022,Q,QUEENS,2280,4498,949,588,2,409,0,105,0,164,1,124
2022,S,STATEN ISLAND,478,926,178,132,0,64,0,9,0,36,0,11
2023,C,CITYWIDE,8136,15512,3546,2053,6,1378,4,514,3,723,6,628
2023,M,MANHATTAN,1395,2477,576,238,0,181,1,148,1,134,3,202
2023,B,BRONX,1252,2408,587,374,2,282,0,60,0,118,1,70
2023,K,BROOKLYN,2822,5480,1213,649,1,456,2,192,1,248,1,219
2023,Q,QUEENS,2201,4266,978,642,0,394,0,106,1,184,1,127
2023,S,STATEN ISLAND,466,881,192,150,3,65,1,8,0,39,0,10
