ID,Name,Mobility,State,Population,Student_teacher_ratio,Commute
301,Middlesborough,0.0726351365,TN,66708,15.1,0.359
401,Winston-Salem,0.0448007919,NC,493180,15.4,0.292
500,Greensboro,0.0473969392,NC,1055133,16.7,0.305
601,North Wilkesboro,0.0516631268,NC,90016,16.2,0.289
602,Galax,0.0795698911,VA,64676,12.3,0.325
700,Spartanburg,0.0431111902,SC,354533,15.9,0.299
800,Gastonia,0.0515273064,NC,413331,16.4,0.288
900,Charlotte,0.0437852368,NC,1423942,17,0.241
1001,Boone,0.0560836494,NC,77361,13.9,0.375
1002,Morganton,0.0544464625,NC,164760,15.7,0.315
1100,Hickory,0.0449696705,NC,375363,16.7,0.322
1201,Franklin,0.0566615611,NC,44861,15.8,0.416
1202,Sylva,0.0606653616,NC,54082,14.6,0.412
1203,Asheville,0.0633802786,NC,398505,16.2,0.314
1204,Andrews,0.0804810375,NC,59681,15.7,0.361
1301,Bennettsville,0.0297968406,SC,71586,14.9,0.34
1302,Florence,0.0356782004,SC,548986,15.9,0.327
1400,Fayetteville,0.0382470116,NC,644101,16.3,0.322
1500,Wilmington,0.0418033972,NC,361559,16.1,0.317
1600,Wilson,0.0319583789,NC,216840,15.8,0.36
1701,Raleigh,0.0499866344,NC,1412127,16,0.25
1702,Henderson,0.0336088166,NC,62926,16.5,0.345
1800,Goldsboro,0.0453549512,NC,222553,16.3,0.348
1900,Jacksonville,0.0470072404,NC,536909,16.3,0.375
2000,Virginia Beach,0.0535509437,VA,1119468,15.3,0.253
2100,Washington,0.0497884788,NC,124216,14.2,0.387
2600,Roanoke Rapids,0.0327529013,NC,139055,16.5,0.357
2700,Gulfport,0.0671070293,MS,458674,18.4,0.298
2800,Laurel,0.0692070574,MS,120505,17.9,0.32
2900,Hattiesburg,0.0605108887,MS,157181,16.8,0.358
3001,Kosciusko,0.0354896672,MS,41270,19.8,0.365
3002,Yazoo City,0.0247895233,MS,39355,20.1,0.417
3003,Jackson,0.0375340469,MS,546560,19.2,0.267
3101,McComb,0.0625297204,MS,103602,17.8,0.341
3102,Brookhaven,0.0642954856,MS,46424,18.3,0.321
3201,Jena,0.1264222562,LA,25202,16.4,0.369
3202,Natchez,0.0487460271,MS,69653,18.6,0.418
3203,Vicksburg,0.0311782081,MS,84943,18.3,0.379
3300,New Orleans,0.0512128659,LA,1381652,17.6,0.247
3400,Houma,0.1134691536,LA,271365,17,0.414
3500,Baton Rouge,0.0603968948,LA,806561,17.1,0.258
3600,Alexandria,0.0672128424,LA,186516,16.9,0.343
3700,Lake Charles,0.0971184596,LA,335960,16.3,0.369
3800,Lafayette,0.0950535387,LA,548154,17,0.339
3901,Monroe,0.0551850982,LA,253878,17,0.341
3902,Lake Providence,0.0573065914,LA,21735,16.2,0.393
4001,Magnolia,0.060388945,AR,34162,16.6,0.463
4002,Shreveport,0.0527185053,LA,499101,17.4,0.312
4003,Ruston,0.0688279271,LA,74800,15.5,0.464
4004,Many,0.1516079605,LA,23459,16,0.306
4101,Crossett,0.041538462,AR,24209,17.4,0.502
4102,Pine Bluff,0.0428298265,AR,168122,18,0.396
4103,El Dorado,0.0566330478,AR,89373,16.6,0.437
4200,Little Rock,0.0535617173,AR,630854,17.4,0.293
4301,Stuttgart,0.0539629012,AR,40542,15.9,0.529
4302,Searcy,0.0891045406,AR,94324,17.1,0.421
4401,London,0.0638953075,KY,144931,16.7,0.345
4402,Richmond,0.0590868406,KY,116256,15.9,0.35
4501,West Liberty,0.0684385374,KY,49887,14.8,0.295
4502,Hazard,0.1306593716,KY,117919,15.2,0.315
4601,Campbellsville,0.0714285746,KY,83451,15.5,0.404
4602,Somerset,0.0627145097,KY,123981,16.6,0.372
4701,Greenwood,0.0331106596,MS,84168,18.5,0.435
4702,Clarksdale,0.0271325037,MS,141711,18.5,0.41
4800,Greenville,0.0221015904,MS,146833,18.7,0.498
5000,Tupelo,0.0435734168,MS,197774,17.9,0.341
5100,Corinth,0.06576325,MS,129508,16.7,0.372
5201,New Albany,0.0546255521,MS,54214,18.4,0.299
5202,Memphis,0.0281827394,TN,1154338,19.7,0.224
5300,West Memphis,0.0320140719,AR,138746,17.2,0.416
5401,Bowling Green,0.0642673522,KY,164944,17.3,0.375
5402,Glasgow,0.0613557659,KY,92394,15.4,0.376
5900,Clarksville,0.0599688478,TN,252059,17.3,0.319
6000,Huntsville,0.0566761531,AL,519583,16.5,0.286
6100,Gadsden,0.071056664,AL,304068,17.6,0.328
6200,Florence,0.0710671544,AL,230941,16.6,0.33
6401,Chattanooga,0.0570530631,TN,490863,18.1,0.256
6501,Ellijay,0.064965196,GA,43254,17,0.292
6600,Rome,0.0484621339,GA,418304,16.3,0.301
6700,Tampa,0.060128428,FL,2395997,18.3,0.264
6800,Lakeland,0.0520584956,FL,598228,18.4,0.289
6900,Sarasota,0.0683156624,FL,763795,18.9,0.319
7000,Miami,0.0729660839,FL,3955969,21.3,0.198
7100,Port St. Lucie,0.062430378,FL,1533306,19.4,0.26
7200,Cape Coral,0.0601915196,FL,692265,18.6,0.273
7300,Palm Bay,0.0658892095,FL,589177,18,0.3
7400,Orlando,0.0578166097,FL,1697906,19.9,0.212
7500,Deltona,0.0587789156,FL,563598,17.6,0.303
7600,Jacksonville,0.0492131598,FL,1176696,19.9,0.229
7700,Lake City,0.049539458,FL,149695,18.8,0.339
7800,Ocala,0.0564204939,FL,377001,17.6,0.273
7900,Gainesville,0.0496746562,FL,320199,18.2,0.321
8000,Sumter,0.0349367075,SC,209914,17.2,0.33
8100,Columbia,0.0372132659,SC,722201,15.3,0.28
8201,Barnwell,0.0353721455,SC,72733,15,0.349
8202,Charleston,0.0444692373,SC,587297,17.1,0.269
8300,Greenville,0.0469857492,SC,894291,17,0.308
8401,Aiken,0.0410487503,GA,525842,18.2,0.275
8402,Washington,0.031144781,GA,35518,16.5,0.341
8501,Fitzgerald,0.0359147042,GA,27415,15.6,0.458
8502,Cordele,0.0330490395,GA,42098,15.5,0.43
8503,Valdosta,0.0318490118,GA,241530,16.5,0.422
8601,Waycross,0.0445917435,GA,113122,16,0.41
8602,Brunswick,0.0473826714,GA,93044,16.4,0.348
8701,Hinesville,0.0489417985,GA,131279,17,0.413
8702,Statesboro,0.0388888903,GA,111346,16.2,0.398
8800,Savannah,0.0409670919,GA,434615,16.6,0.297
8900,Macon,0.0326111726,GA,386870,17.3,0.294
9001,Vidalia,0.0480652973,GA,108438,16.3,0.391
9002,Milledgeville,0.0322265625,GA,83808,16.8,0.36
9003,Dublin,0.0320269689,GA,74610,16.5,0.343
9100,Atlanta,0.0453297347,GA,3798017,18.1,0.178
9200,Griffin,0.0402813293,GA,135136,17.6,0.315
9301,Winder,0.0379506648,GA,212223,16.9,0.323
9302,Toccoa,0.0416666679,GA,89228,15.5,0.407
9400,Gainesville,0.069715701,GA,272150,16.8,0.269
9500,Talladega,0.0449032262,AL,148252,17.8,0.339
9600,LaGrange,0.0523430221,GA,457299,18.1,0.294
9701,Columbus,0.0349603333,GA,303656,17.4,0.325
9702,Americus,0.0344074294,GA,65826,17,0.409
9800,Auburn,0.0342648029,AL,150911,17,0.38
9900,Tallahassee,0.0470258147,FL,426634,17.7,0.275
10000,Panama City,0.0581574887,FL,172606,18.4,0.358
10101,Bainbridge,0.0393333323,GA,43992,16.5,0.39
10102,Thomasville,0.0328861959,GA,66396,16.3,0.389
10200,Albany,0.0276326872,GA,181765,17.5,0.35
10301,Eufaula,0.022954924,GA,61458,15.9,0.388
10302,Dothan,0.0582822077,AL,223605,17.2,0.361
10400,Meridian,0.0467728749,MS,157091,17.4,0.333
10501,Columbus,0.0360278524,MS,95083,19.3,0.362
