date,daily_trips,TMAX
2013-05-31,362,90
2013-06-01,8959,90
2013-06-02,15467,88
2013-06-03,7700,78
2013-06-04,15849,75
2013-06-05,15724,74
2013-06-06,12233,70
2013-06-07,1142,63
2013-06-08,18997,77
2013-06-09,20342,80
2013-06-10,3635,70
2013-06-11,12808,80
2013-06-12,16920,76
2013-06-13,7669,69
2013-06-14,15678,72
2013-06-15,25583,80
2013-06-16,21152,80
2013-06-17,19708,84
2013-06-18,13618,84
2013-06-19,24378,77
2013-06-20,26928,80
2013-06-21,28211,82
2013-06-22,29656,84
2013-06-23,27011,88
2013-06-24,24308,92
2013-06-25,27902,91
2013-06-26,29528,85
2013-06-27,24281,86
2013-06-28,28495,85
2013-06-29,30077,83
2013-06-30,23832,86
2013-07-01,16635,77
2013-07-02,22794,82
2013-07-03,22148,83
2013-07-04,22441,87
2013-07-05,21954,90
2013-07-06,20488,92
2013-07-07,19886,92
2013-07-08,21622,89
2013-07-09,26636,88
2013-07-10,25891,85
2013-07-11,24640,84
2013-07-12,18715,77
2013-07-13,27030,81
2013-07-14,28355,90
2013-07-15,28113,94
2013-07-16,29961,94
2013-07-17,30506,97
2013-07-18,29074,98
2013-07-19,26981,96
2013-07-20,25428,93
2013-07-21,29445,89
2013-07-22,25756,86
2013-07-23,32739,87
2013-07-24,35254,83
2013-07-25,31144,68
2013-07-26,35268,83
2013-07-27,32618,82
2013-07-28,22184,78
2013-07-29,35231,85
2013-07-30,37523,83
2013-07-31,37283,83
2013-08-01,19968,76
2013-08-02,36668,83
2013-08-03,29725,78
2013-08-04,34169,80
2013-08-05,36772,78
2013-08-06,37811,82
2013-08-07,34294,80
2013-08-08,28566,81
2013-08-09,29480,85
2013-08-10,37575,83
2013-08-11,31938,81
2013-08-12,31495,82
2013-08-13,22482,77
2013-08-14,38257,74
2013-08-15,37571,78
2013-08-16,36543,82
2013-08-17,37275,84
2013-08-18,26705,76
2013-08-19,33138,79
2013-08-20,35978,88
2013-08-21,36386,90
2013-08-22,26678,78
2013-08-23,34149,82
2013-08-24,33019,80
2013-08-25,30741,83
2013-08-26,29885,84
2013-08-27,34474,87
2013-08-28,28156,86
2013-08-29,34491,80
2013-08-30,32564,85
2013-08-31,25344,86
2013-09-01,25187,84
2013-09-02,20770,82
2013-09-03,32494,82
2013-09-04,36969,82
2013-09-05,35898,80
2013-09-06,36462,72
2013-09-07,34694,80
2013-09-08,32015,83
2013-09-09,35428,73
2013-09-10,37155,87
2013-09-11,35916,96
2013-09-12,31204,87
2013-09-13,36927,77
2013-09-14,31726,67
2013-09-15,31066,73
2013-09-16,31285,73
2013-09-17,38366,65
2013-09-18,38079,72
2013-09-19,39378,78
2013-09-20,40043,79
2013-09-21,30633,77
2013-09-22,29810,69
2013-09-23,35259,66
2013-09-24,38511,73
2013-09-25,38242,73
2013-09-26,38361,71
2013-09-27,38031,69
2013-09-28,35196,73
2013-09-29,31431,72
2013-09-30,37227,75
2013-10-01,40684,82
2013-10-02,41477,83
2013-10-03,40600,78
2013-10-04,40750,86
2013-10-05,34559,76
2013-10-06,25223,70
2013-10-07,25007,76
2013-10-08,38424,67
2013-10-09,37029,62
2013-10-10,31251,65
2013-10-11,34000,68
2013-10-12,32644,72
2013-10-13,27913,65
2013-10-14,32946,66
2013-10-15,37561,72
2013-10-16,37074,67
2013-10-17,36968,73
2013-10-18,38648,68
2013-10-19,29594,64
2013-10-20,28360,63
2013-10-21,35012,66
2013-10-22,36351,67
2013-10-23,32319,55
2013-10-24,32368,54
2013-10-25,31406,53
2013-10-26,24746,55
2013-10-27,23206,58
2013-10-28,31526,61
2013-10-29,33448,56
2013-10-30,35201,60
2013-10-31,31695,66
2013-11-01,30759,70
2013-11-02,31108,68
2013-11-03,19762,55
2013-11-04,27257,46
2013-11-05,31635,55
2013-11-06,34926,61
2013-11-07,25707,64
2013-11-08,28930,50
2013-11-09,22089,50
2013-11-10,18906,61
2013-11-11,27316,53
2013-11-12,19834,52
2013-11-13,23660,39
2013-11-14,27245,52
2013-11-15,29604,57
2013-11-16,25600,60
2013-11-17,16802,60
2013-11-18,30670,65
2013-11-19,27399,51
2013-11-20,26247,44
2013-11-21,29018,52
2013-11-22,25865,57
2013-11-23,18508,54
2013-11-24,9013,30
2013-11-25,19207,35
2013-11-26,14819,47
2013-11-27,8166,62
2013-11-28,5182,35
2013-11-29,10193,39
2013-11-30,10071,39
2013-12-01,13095,49
2013-12-02,24611,49
2013-12-03,27512,53
2013-12-04,28225,52
2013-12-05,27162,60
2013-12-06,10407,62
2013-12-07,16023,41
2013-12-08,9430,33
2013-12-09,15038,39
2013-12-10,12793,37
2013-12-11,18830,33
2013-12-12,17233,30
2013-12-13,18246,35
2013-12-14,3095,34
2013-12-15,7567,40
2013-12-16,15648,33
2013-12-17,7775,32
2013-12-18,15073,37
2013-12-19,19050,47
2013-12-20,22171,53
2013-12-21,18102,65
2013-12-22,14543,71
2013-12-23,6847,64
2013-12-24,10948,42
2013-12-25,3208,31
2013-12-26,9873,36
2013-12-27,11879,40
2013-12-28,12190,55
2013-12-29,3436,48
2013-12-30,13220,45
2013-12-31,10899,32
2014-01-01,5514,33
2014-01-02,8501,33
2014-01-03,1165,18
2014-01-04,2409,29
2014-01-05,2597,40
2014-01-06,9509,55
2014-01-07,6237,19
2014-01-08,9296,22
2014-01-09,13463,32
2014-01-10,9915,37
2014-01-11,7923,58
2014-01-12,12190,54
2014-01-13,20709,51
2014-01-14,9973,52
2014-01-15,21696,47
2014-01-16,19967,42
2014-01-17,20560,44
2014-01-18,9240,41
2014-01-19,8906,38
2014-01-20,13295,46
2014-01-21,3666,31
2014-01-22,2486,17
2014-01-23,5130,20
2014-01-24,6236,20
2014-01-25,4369,28
2014-01-26,4880,34
2014-01-27,13132,44
2014-01-28,10007,21
2014-01-29,10076,23
2014-01-30,12229,30
2014-01-31,14924,39
2014-02-01,12884,45
2014-02-02,13414,56
2014-02-03,2462,43
2014-02-04,8745,35
2014-02-05,2746,34
2014-02-06,7249,32
2014-02-07,8604,32
2014-02-08,5981,29
2014-02-09,4790,31
2014-02-10,6883,29
2014-02-11,8337,26
2014-02-12,8572,25
2014-02-13,830,36
2014-02-14,3729,40
2014-02-15,2212,37
2014-02-16,3014,30
2014-02-17,4826,32
2014-02-18,5165,39
2014-02-19,8548,45
2014-02-20,11858,51
2014-02-21,8872,49
2014-02-22,13199,54
2014-02-23,12901,54
2014-02-24,12912,44
2014-02-25,12855,33
2014-02-26,11197,31
2014-02-27,12028,34
2014-02-28,9710,24
2014-03-01,9357,37
2014-03-02,7932,40
2014-03-03,7647,32
2014-03-04,10447,29
2014-03-05,13817,39
2014-03-06,12829,31
2014-03-07,13483,37
2014-03-08,16542,57
2014-03-09,11845,44
2014-03-10,17281,51
2014-03-11,24435,66
2014-03-12,14939,56
2014-03-13,10989,32
2014-03-14,16669,46
2014-03-15,18028,58
2014-03-16,9446,42
2014-03-17,12561,35
2014-03-18,16718,43
2014-03-19,13239,46
2014-03-20,19893,54
2014-03-21,20987,51
2014-03-22,19922,63
2014-03-23,11255,42
2014-03-24,13617,35
2014-03-25,16073,39
2014-03-26,14460,36
2014-03-27,16849,44
2014-03-28,18788,62
2014-03-29,3946,59
2014-03-30,7862,49
2014-03-31,17182,56
2014-04-01,23965,60
2014-04-02,22592,54
2014-04-03,26164,67
2014-04-04,12675,47
2014-04-05,18927,54
2014-04-06,20398,61
2014-04-07,14582,53
2014-04-08,22055,64
2014-04-09,26980,61
2014-04-10,27592,58
2014-04-11,27121,75
2014-04-12,27194,73
2014-04-13,26386,77
2014-04-14,28785,75
2014-04-15,10245,63
2014-04-16,20294,49
2014-04-17,22357,48
2014-04-18,20915,49
2014-04-19,24580,68
2014-04-20,17989,60
2014-04-21,27208,67
2014-04-22,27307,71
2014-04-23,26914,61
2014-04-24,28234,62
2014-04-25,27783,63
2014-04-26,20278,67
2014-04-27,21504,59
2014-04-28,28576,67
2014-04-29,18289,52
2014-04-30,2761,52
2014-05-01,27262,78
2014-05-02,32776,70
2014-05-03,25292,71
2014-05-04,20753,65
2014-05-05,30432,70
2014-05-06,32257,71
2014-05-07,32825,69
2014-05-08,17783,59
2014-05-09,22917,63
2014-05-10,21545,83
2014-05-11,28235,82
2014-05-12,31721,85
2014-05-13,32763,73
2014-05-14,29965,71
2014-05-15,26267,71
2014-05-16,17814,68
2014-05-17,30520,70
2014-05-18,26624,67
2014-05-19,31737,72
2014-05-20,35719,78
2014-05-21,34422,74
2014-05-22,24493,67
2014-05-23,24187,71
2014-05-24,17278,70
2014-05-25,25836,80
2014-05-26,26550,86
2014-05-27,32898,86
2014-05-28,29599,64
2014-05-29,34036,66
2014-05-30,34803,75
2014-05-31,27716,73
2014-06-01,30736,77
2014-06-02,34562,80
2014-06-03,29570,87
2014-06-04,36046,82
2014-06-05,24936,76
2014-06-06,38149,76
2014-06-07,31448,82
2014-06-08,29163,86
2014-06-09,18546,73
2014-06-10,33522,77
2014-06-11,30559,70
2014-06-12,28935,73
2014-06-13,18790,79
2014-06-14,28571,74
2014-06-15,27854,80
2014-06-16,34966,81
2014-06-17,35167,89
2014-06-18,35628,89
2014-06-19,31855,77
2014-06-20,34753,79
2014-06-21,30444,78
2014-06-22,28591,79
2014-06-23,32615,81
2014-06-24,35957,81
2014-06-25,34113,85
2014-06-26,35368,85
2014-06-27,36264,83
2014-06-28,28574,87
2014-06-29,27155,83
2014-06-30,33610,84
2014-07-01,34925,89
2014-07-02,26432,91
2014-07-03,27810,87
2014-07-04,13735,74
2014-07-05,23058,81
2014-07-06,23269,84
2014-07-07,31804,90
2014-07-08,32848,91
2014-07-09,34577,88
2014-07-10,36504,83
2014-07-11,35307,86
2014-07-12,28928,85
2014-07-13,23623,83
2014-07-14,25959,84
2014-07-15,23134,86
2014-07-16,35672,81
2014-07-17,38777,81
2014-07-18,36483,81
2014-07-19,29449,76
2014-07-20,29445,80
2014-07-21,35591,85
2014-07-22,37018,86
2014-07-23,34000,88
2014-07-24,37144,80
2014-07-25,36775,82
2014-07-26,27317,81
2014-07-27,25834,85
2014-07-28,33423,82
2014-07-29,37200,76
2014-07-30,37413,80
2014-07-31,35593,82
2014-08-01,33040,84
2014-08-02,26744,74
2014-08-03,24638,76
2014-08-04,33835,84
2014-08-05,34492,90
2014-08-06,36391,83
2014-08-07,36557,83
2014-08-08,34457,83
2014-08-09,31644,87
2014-08-10,26045,88
2014-08-11,33662,87
2014-08-12,25913,79
2014-08-13,28379,82
2014-08-14,35325,77
2014-08-15,32924,73
2014-08-16,31932,78
2014-08-17,26839,82
2014-08-18,34347,81
2014-08-19,35413,83
2014-08-20,35585,84
2014-08-21,33390,83
2014-08-22,31267,79
2014-08-23,26562,77
2014-08-24,26778,80
2014-08-25,32962,88
2014-08-26,34529,89
2014-08-27,33817,90
2014-08-28,33982,82
2014-08-29,31447,80
2014-08-30,22762,80
2014-08-31,17088,90
2014-09-01,23575,88
2014-09-02,30507,92
2014-09-03,35535,86
2014-09-04,36496,87
2014-09-05,34831,87
2014-09-06,25833,91
2014-09-07,29721,81
2014-09-08,34335,75
2014-09-09,34518,73
2014-09-10,37653,80
2014-09-11,37081,83
2014-09-12,37204,78
2014-09-13,17293,69
2014-09-14,28688,71
2014-09-15,35045,71
2014-09-16,25633,70
2014-09-17,37453,73
2014-09-18,37381,76
2014-09-19,34713,66
2014-09-20,30011,75
2014-09-21,26080,75
2014-09-22,33239,71
2014-09-23,36347,71
2014-09-24,35481,71
2014-09-25,16650,64
2014-09-26,35116,77
2014-09-27,30193,83
2014-09-28,29021,84
2014-09-29,33161,79
2014-09-30,35093,71
2014-10-01,27942,65
2014-10-02,34492,70
2014-10-03,34944,71
2014-10-04,13354,69
2014-10-05,23456,61
2014-10-06,31742,69
2014-10-07,32892,71
2014-10-08,33607,73
2014-10-09,32203,68
2014-10-10,30887,64
2014-10-11,12965,60
2014-10-12,23394,63
2014-10-13,22752,65
2014-10-14,32614,76
2014-10-15,28743,77
2014-10-16,26754,71
2014-10-17,34132,71
2014-10-18,24978,70
2014-10-19,18840,56
2014-10-20,27914,60
2014-10-21,31330,67
2014-10-22,9169,58
2014-10-23,13371,53
2014-10-24,29837,63
2014-10-25,24952,67
2014-10-26,20768,63
2014-10-27,28806,63
2014-10-28,32956,72
2014-10-29,29999,72
2014-10-30,31133,59
2014-10-31,27785,55
2014-11-01,6002,47
2014-11-02,14100,48
2014-11-03,26757,61
2014-11-04,31174,68
2014-11-05,30539,64
2014-11-06,12283,57
2014-11-07,25355,53
2014-11-08,17443,48
2014-11-09,18207,57
2014-11-10,27655,61
2014-11-11,29358,64
2014-11-12,27807,65
2014-11-13,20652,48
2014-11-14,21082,42
2014-11-15,14057,42
2014-11-16,13272,45
2014-11-17,8116,52
2014-11-18,16691,45
2014-11-19,16694,36
2014-11-20,20611,45
2014-11-21,17806,37
2014-11-22,12682,44
2014-11-23,15669,57
2014-11-24,23031,69
2014-11-25,25580,68
2014-11-26,3675,51
2014-11-27,3945,38
2014-11-28,8378,37
2014-11-29,8183,45
2014-11-30,12384,55
2014-12-01,18519,65
2014-12-02,15367,43
2014-12-03,13472,46
2014-12-04,21335,45
2014-12-05,15818,44
2014-12-06,4047,50
2014-12-07,10510,42
2014-12-08,15557,37
2014-12-09,6713,42
2014-12-10,10399,40
2014-12-11,18141,38
2014-12-12,17892,38
2014-12-13,12549,44
2014-12-14,11941,46
2014-12-15,19382,48
2014-12-16,16816,49
2014-12-17,20346,54
2014-12-18,19051,42
2014-12-19,17200,38
2014-12-20,9582,33
2014-12-21,8747,36
2014-12-22,13560,44
2014-12-23,9422,46
2014-12-24,4285,58
2014-12-25,4890,62
2014-12-26,9895,50
2014-12-27,10247,55
2014-12-28,7902,54
2014-12-29,13549,44
2014-12-30,12196,34
2014-12-31,9739,32
2015-01-01,5317,39
2015-01-02,11304,42
2015-01-03,4478,42
2015-01-04,7849,56
2015-01-05,14506,49
2015-01-06,8739,22
2015-01-07,9646,23
2015-01-08,8779,21
2015-01-09,7930,33
2015-01-10,6109,23
2015-01-11,7467,37
2015-01-12,8645,39
